Date,VIX,VXX,SPY
2018-01-25,11.58,1770.24,283.3
2018-01-26,11.08,1770.24,286.58
2018-01-29,13.84,1893.12,284.68
2018-01-30,14.79,1955.2,281.76
2018-01-31,13.54,1961.6,281.9
2018-02-01,13.47,1862.85,281.58
2018-02-02,17.31,2102.4,275.45
2018-02-05,37.32,2807.04,263.93
2018-02-06,29.98,2759.42,269.13
2018-02-07,27.73,2850.56,267.67
2018-02-08,33.46,3531.52,257.63
2018-02-09,29.06,3217.92,261.5
2018-02-12,25.61,3107.2,265.34
2018-02-13,24.97,3070.08,266.0
2018-02-14,19.26,2718.72,269.59
2018-02-15,19.13,2656.0,273.03
2018-02-16,19.46,2695.68,273.11
2018-02-20,20.6,2805.76,271.4
2018-02-21,20.02,2848.0,270.05
2018-02-22,18.72,2810.88,270.4
2018-02-23,16.49,2591.36,274.71
2018-02-26,15.8,2513.92,277.9
2018-02-27,18.59,2714.24,274.43
2018-02-28,19.85,2826.24,271.65
2018-03-01,22.47,3020.8,267.7
2018-03-02,19.59,2887.68,269.08
2018-03-05,18.73,2781.44,272.19
2018-03-06,18.36,2796.16,272.88
2018-03-07,17.76,2754.56,272.78
2018-03-08,16.54,2725.76,274.1
2018-03-09,14.64,2448.0,278.87
2018-03-12,15.78,2544.64,278.52
2018-03-13,16.35,2605.44,276.72
2018-03-14,17.23,2662.4,275.3
2018-03-15,16.59,2588.16,275.0
2018-03-16,15.8,2515.2,274.2
2018-03-19,19.02,2775.68,270.49
2018-03-20,18.2,2722.56,270.95
2018-03-21,17.86,2623.36,270.43
2018-03-22,23.34,3020.8,263.67
2018-03-23,24.87,3200.0,258.05
2018-03-26,21.03,2963.2,265.11
2018-03-27,22.5,3185.92,260.6
2018-03-28,22.87,3206.08,259.83
2018-03-29,19.97,3136.0,263.15
2018-04-02,23.62,3317.76,257.47
2018-04-03,21.1,3175.68,260.77
2018-04-04,20.06,3115.52,263.56
2018-04-05,18.94,3031.68,265.64
2018-04-06,21.49,3187.2,259.72
2018-04-09,21.77,3187.2,261.0
2018-04-10,20.47,3187.2,265.15
2018-04-11,20.24,3187.2,263.76
2018-04-12,18.49,3077.76,265.93
2018-04-13,17.41,2942.72,265.15
2018-04-16,16.56,2793.6,267.33
2018-04-17,15.25,2579.2,270.19
2018-04-18,15.6,2595.84,270.39
2018-04-19,15.96,2622.08,268.89
2018-04-20,16.88,2695.04,266.61
2018-04-23,16.34,2662.4,266.57
2018-04-24,18.02,2661.76,262.98
2018-04-25,17.84,2851.2,263.63
2018-04-26,16.24,2717.44,266.31
2018-04-27,15.41,2651.2,266.56
2018-04-30,15.93,2625.28,264.51
2018-05-01,15.49,2711.04,264.98
2018-05-02,15.97,2544.64,263.2
2018-05-03,15.9,2752.0,262.62
2018-05-04,14.77,2579.2,266.02
2018-05-07,14.75,2544.0,266.92
2018-05-08,14.71,2544.0,266.92
2018-05-09,13.42,2482.56,269.5
2018-05-10,13.23,2349.44,272.02
2018-05-11,12.65,2293.12,272.85
2018-05-14,12.93,2225.92,272.98
2018-05-15,14.63,2387.2,271.1
2018-05-16,13.42,2308.16,272.24
2018-05-17,13.43,2250.88,272.01
2018-05-18,13.42,2266.88,271.33
2018-05-21,13.08,2176.0,273.37
2018-05-22,13.22,2191.49,272.61
2018-05-23,12.58,2174.72,273.36
2018-05-24,12.53,2187.52,272.8
2018-05-25,13.22,2164.48,272.15
2018-05-29,17.02,2458.88,269.02
2018-05-30,14.94,2339.84,272.61
2018-05-31,15.43,2364.16,270.94
2018-06-01,13.46,2248.32,273.6
2018-06-04,12.74,2248.32,274.9
2018-06-05,12.4,2177.28,275.1
2018-06-06,11.64,2076.16,277.4
2018-06-07,12.13,2100.48,277.37
2018-06-08,12.18,2075.52,278.19
2018-06-11,12.35,2053.12,278.56
2018-06-12,12.34,2046.72,278.92
2018-06-13,12.94,2056.96,278.03
2018-06-14,12.12,2001.41,278.73
2018-06-15,11.98,2023.68,277.13
2018-06-18,12.31,1999.94,276.56
2018-06-19,13.35,2101.7,275.5
2018-06-20,12.79,2053.76,275.97
2018-06-21,14.64,2189.44,274.24
2018-06-22,13.77,2132.48,274.74
2018-06-25,17.33,2438.4,271.0
2018-06-26,15.92,2338.56,271.6
2018-06-27,17.91,2464.0,269.35
2018-06-28,16.85,2508.8,270.89
2018-06-29,16.09,2362.88,271.28
2018-07-02,15.6,2415.36,271.86
2018-07-03,16.14,2415.36,270.9
2018-07-05,14.97,2314.24,273.11
2018-07-06,13.37,2199.36,275.42
2018-07-09,12.69,2078.72,277.9
2018-07-10,12.64,2034.56,278.9
2018-07-11,13.63,2101.76,276.86
2018-07-12,12.58,2048.0,279.37
2018-07-13,12.18,2030.66,279.59
2018-07-16,12.83,1999.36,279.34
2018-07-17,12.06,1966.08,280.47
2018-07-18,12.1,1955.84,281.06
2018-07-19,12.87,1996.8,280.0
2018-07-20,12.86,2001.09,279.68
2018-07-23,12.62,2019.84,280.2
2018-07-24,12.41,1967.36,281.61
2018-07-25,12.29,1949.44,284.01
2018-07-26,12.14,1954.56,283.34
2018-07-27,13.03,2018.56,281.42
2018-07-30,14.26,2056.32,279.95
2018-07-31,12.83,2008.32,281.33
2018-08-01,13.15,1984.0,280.86
2018-08-02,12.19,1963.52,282.39
2018-08-03,11.64,1928.96,283.6
2018-08-06,11.27,1873.15,284.64
2018-08-07,10.93,1827.84,285.58
2018-08-08,10.85,1794.05,285.46
2018-08-09,11.27,1825.92,285.07
2018-08-10,13.16,1917.44,283.16
2018-08-13,14.78,2028.8,282.1
2018-08-14,13.31,1926.4,283.9
2018-08-15,14.64,2046.72,281.78
2018-08-16,13.45,1934.72,284.06
2018-08-17,12.64,1887.36,285.06
2018-08-20,12.49,1848.32,285.67
2018-08-21,12.86,1885.44,286.34
2018-08-22,12.25,1852.8,286.17
2018-08-23,12.41,1857.92,285.79
2018-08-24,11.99,1847.04,287.51
2018-08-27,12.16,1849.6,289.78
2018-08-28,12.5,1851.52,289.92
2018-08-29,12.25,1833.6,291.48
2018-08-30,13.53,1888.64,290.3
2018-08-31,12.86,1900.16,290.31
2018-09-04,13.16,1873.92,289.81
2018-09-05,13.91,1885.44,289.03
2018-09-06,14.65,1943.04,288.16
2018-09-07,14.88,1971.84,287.6
2018-09-10,14.16,1918.72,288.1
2018-09-11,13.22,1862.4,289.05
2018-09-12,13.14,1838.08,289.12
2018-09-13,12.37,1788.16,290.83
2018-09-14,12.07,1750.4,290.88
2018-09-17,13.68,1804.8,289.34
2018-09-18,12.79,1795.2,290.91
2018-09-19,11.75,1733.12,291.22
2018-09-20,11.8,1704.96,293.58
2018-09-21,11.68,1700.22,291.99
2018-09-24,12.2,1706.88,291.02
2018-09-25,12.42,1722.88,290.75
2018-09-26,12.89,1728.0,289.88
2018-09-27,12.41,1711.36,290.69
2018-09-28,12.12,1708.8,290.72
2018-10-01,12.0,1689.6,291.73
2018-10-02,12.05,1689.6,291.56
2018-10-03,11.61,1676.8,291.72
2018-10-04,14.22,1779.2,289.44
2018-10-05,14.82,1807.36,287.82
2018-10-08,15.69,1832.96,287.82
2018-10-09,15.95,1861.12,287.4
2018-10-10,22.96,2172.8,278.3
2018-10-11,24.98,2359.04,272.17
2018-10-12,21.31,2180.48,275.95
2018-10-15,21.3,2193.28,274.4
2018-10-16,17.62,2053.12,280.4
2018-10-17,17.4,2077.44,280.45
2018-10-18,20.06,2230.4,276.4
2018-10-19,19.89,2193.28,276.25
2018-10-22,19.64,2213.12,275.01
2018-10-23,20.71,2296.96,273.61
2018-10-24,25.23,2474.24,265.32
2018-10-25,24.22,2423.04,270.08
2018-10-26,24.16,2559.36,265.33
2018-10-29,24.7,2581.76,263.86
2018-10-30,23.35,2483.84,267.77
2018-10-31,21.23,2405.12,270.63
2018-11-01,19.34,2327.68,273.51
2018-11-02,19.51,2346.24,271.89
2018-11-05,19.96,2323.84,273.39
2018-11-06,19.91,2245.12,275.12
2018-11-07,16.36,2089.6,281.01
2018-11-08,16.72,2080.0,280.5
2018-11-09,17.36,2126.91,277.76
2018-11-12,20.45,2307.84,272.57
2018-11-13,20.02,2325.12,272.06
2018-11-14,21.25,2385.28,270.2
2018-11-15,19.98,2360.32,273.02
2018-11-16,18.14,2252.16,273.73
2018-11-19,20.1,2384.0,269.1
